SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SECTOR
IRFC,Indian Railway Finance Corporation Limited,EQ,29-JAN-2021,10,1,INE053F01010,10,Financial Services
IVC,IL&FS Investment Managers Limited,EQ,15-SEP-1999,2,1,INE050B01023,2,Financial Services
J&KBANK,The Jammu & Kashmir Bank Limited,EQ,22-JUL-1998,1,1,INE168A01041,1,Financial Services
JINDALPHOT,Jindal Photo Limited,BE,07-APR-2005,10,1,INE796G01012,10,Financial Services
JIOFIN,Jio Financial Services Limited,EQ,21-AUG-2023,10,1,INE758E01017,10,Financial Services
JMFINANCIL,JM Financial Limited,EQ,10-OCT-2006,1,1,INE780C01023,1,Financial Services
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,EQ,11-NOV-2013,10,1,INE147P01019,10,Financial Services
JSFB,Jana Small Finance Bank Limited,EQ,14-FEB-2024,10,1,INE953L01027,10,Financial Services
KARURVYSYA,Karur Vysya Bank Limited,EQ,26-JUL-2000,2,1,INE036D01028,2,Financial Services
KEYFINSERV,Keynote Financial Services Limited,BE,26-JUN-1996,10,1,INE681C01015,10,Financial Services
KHANDSE,Khandwala Securities Limited,EQ,07-FEB-2001,10,1,INE060B01014,10,Financial Services
KICL,Kalyani Investment Company Limited,EQ,14-JAN-2011,10,1,INE029L01018,10,Financial Services
KOTAKBANK,Kotak Mahindra Bank Limited,EQ,20-DEC-1995,5,1,INE237A01028,5,Financial Services
KTKBANK,The Karnataka Bank Limited,EQ,10-MAY-2000,10,1,INE614B01018,10,Financial Services
LFIC,Lakshmi Finance & Industrial Corporation Limited,EQ,15-APR-2015,10,1,INE850E01012,10,Financial Services
LICHSGFIN,LIC Housing Finance Limited,EQ,29-JUL-1998,2,1,INE115A01026,2,Financial Services
LICI,Life Insurance Corporation Of India,EQ,17-MAY-2022,10,1,INE0J1Y01017,10,Financial Services
LTF,L&T Finance Limited,EQ,12-AUG-2011,10,1,INE498L01015,10,Financial Services
M&MFIN,Mahindra & Mahindra Financial Services Limited,EQ,17-MAR-2006,2,1,INE774D01024,2,Financial Services
MAHABANK,Bank of Maharashtra,EQ,12-APR-2004,10,1,INE457A01014,10,Financial Services
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,EQ,21-JAN-1998,10,1,INE843B01013,10,Financial Services
MANAPPURAM,Manappuram Finance Limited,EQ,01-DEC-2014,2,1,INE522D01027,2,Financial Services
MANBA,Manba Finance Limited,EQ,30-SEP-2024,10,1,INE939X01013,10,Financial Services
MANCREDIT,Mangal Credit and Fincorp Limited,EQ,16-AUG-2024,10,1,INE545L01039,10,Financial Services
MASFIN,MAS Financial Services Limited,EQ,18-OCT-2017,10,1,INE348L01012,10,Financial Services
MASKINVEST,Mask Investments Limited,BE,14-OCT-2016,10,1,INE885F01015,10,Financial Services
MASTERTR,Master Trust Limited,EQ,12-NOV-2024,1,1,INE677D01037,1,Financial Services
MCX,Multi Commodity Exchange of India Limited,EQ,09-MAR-2012,10,1,INE745G01035,10,Financial Services
MFSL,Max Financial Services Limited,EQ,17-MAY-2000,2,1,INE180A01020,2,Financial Services
MONARCH,Monarch Networth Capital Limited,EQ,06-JAN-2022,10,1,INE903D01011,10,Financial Services
MOTILALOFS,Motilal Oswal Financial Services Limited,EQ,11-SEP-2007,1,1,INE338I01027,1,Financial Services
MUFIN,Mufin Green Finance Limited,EQ,06-NOV-2023,1,1,INE08KJ01020,1,Financial Services
MUTHOOTCAP,Muthoot Capital Services Limited,EQ,24-AUG-2015,10,1,INE296G01013,10,Financial Services
MUTHOOTFIN,Muthoot Finance Limited,EQ,06-MAY-2011,10,1,INE414G01012,10,Financial Services
MUTHOOTMF,Muthoot Microfin Limited,EQ,26-DEC-2023,10,1,INE046W01019,10,Financial Services
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,EQ,18-SEP-2007,5,1,INE245I01016,5,Financial Services
NAHARCAP,Nahar Capital and Financial Services Limited,BE,11-MAR-2008,5,1,INE049I01012,5,Financial Services
NAM-INDIA,Nippon Life India Asset Management Limited,EQ,06-NOV-2017,10,1,INE298J01013,10,Financial Services
NBIFIN,N. B. I. Industrial Finance Company Limited,EQ,23-NOV-2016,5,1,INE365I01020,5,Financial Services
NDGL,Naga Dhunseri Group Limited,EQ,29-AUG-2016,10,1,INE756C01015,10,Financial Services
NIACL,The New India Assurance Company Limited,EQ,13-NOV-2017,5,1,INE470Y01017,5,Financial Services
NIVABUPA,Niva Bupa Health Insurance Company Limited,EQ,14-NOV-2024,10,1,INE995S01015,10,Financial Services
